wj;I
jrD;Feast
jh;wood
jht;on
jh-hnw;Weight in the form of cattle
jhAjt-mrw;Beef
jhj;Bread, cake
jhj;tree
jhj;go
jhj;call when rowing and funeral procession
jhj;cry
jhw;pleasant
jhb;cow
jhb;inner surfaces of thighs
jhb;constellations
jhbt;cow
jhm;deity
jhm;wicks, lichens
jhm;darken
jhm;Ihi, child of Hathor
jhmt;making music, music
jhmt;Dean
jhmw;Seth
jhmsw;sack
jhmst;Swamp plant
jhr;Musician
jhhj;Fruits
jhhj;old age
jhhn;Pieces ? of copper
jH;Stable
jH;deity
jH;Servant
jH;God
jH;farm tax
jH;Throat
jH;God in best form
jH;ah!
jH;what?
jHt;thing
jHtj;goddess
jH-pt;honor
jH-nw;snake
jHjj;all things, everything
jHjj;early meal
jHj;property of the god
jHj;headscarf of the king
jHj;sacrifice
jHj;green
jHj;worship
jHj;extinguish
jHj;Shore
jHjt;occupants of the sun ship
jHjH;Circumpolar star
jHw;name of the enemies of egypt
jHw;serpent-headed genius
jHw;so
jHw;slaughter animal
jHmmtjj;figure, image
jHms;noun
jHmtj;Dawn
jHtt;designation of a divine being
jHtj;Leather bag
jHtj;Noun
jx;Tomb
jx;chamber
jxt;wood
jxt;old
jxwt-qnw;Old
jxt-wtt;boundary stone
jxt-nbt;Palace
jxt-nhpw;troop, crew
jxt-nTr;windpipe, maw
jxt-HAt;age, decay
jxt-srf;egypt
jxjx;sailors of the gods
jxw;as if
jxm;oil
jxmt;title of a Hathor priest
jxm-jwt;stench of corpse
jxm-sk;workroom
jxmw;Breathing air
jxr;Kitchen
jxr;cut, loss
jxr;go!
jxr;who?
jxra;be light
jxxw;malaise
jxxw;string
jxxm;old clothes, rags
jXA;call, appeal
jXbw;people with market value
js;Noun
js;reed
js;Old
js;Replacement
js;Products of a country
jst;Evil
jst;Testicles
jst;as like
jst;Cedar board
jst;Throne
jstj;pedestal for statues, steles
jstj;go to bed
js;whip
js;plant from Syria
js;Speech
js;language
js;behaün
js-n-kAt;device for anointing
js-nAw;(Verbum from the body of a hungry person]
js-DfA;quiver
jsjj;injustice
jsj;sinner
jsj;Dean
jsj;mineral
jsj;close, close
jsj;skin
jsjwt;Hode
jsw;bar of wood
jsw;Good
jsw;Evil
jsw;Scepter
jswt;Tamarisk
jsw;Tamarisk wood
jsw;Plant
jswj;College of gods
jswj;Linen strip
jswt;Wolf
jswt;waters
jsbt;catch
jsbt;Damn
jsbnbn;punish
jsbr;Place of the realm of the dead
jsbr;net
jspt;hesitate, linger
jsp(t);to fight at retreat
jsp;noun
jsp;guardian
jsp;silo, granary
jspt;deity
jsft;constricts
jsftj;Goddess Ishtar
jsmAt;wind genius
jsmr;does not
jsn;spit; pour out his heart
jsn;saliva
jsn;Thoth
jsnjjt;name of god
jsnw;evil spirit
jsnwt;pull out
jsr;dogs pulling sun ship
jsr;saliva
jsrt;possessions, property
jsr;merchandise
jsrtjjw;food, meal
jshA;Spit out
jshb;burn
jsHm;painful
jss;War cry
jss;food
jss;roast piece
jss;Muttemple of Karnak
jssjjt;hoe
jsq;what?
jsqnqn;product of the land punt
jskt;spit out
jsk;saliva
jskn;carry
jst;Image
jsttjj;Seth
jstn;Belt
jstr;Plant
jsTtj;deciduous tree with fruits
jsT;sweet fruit
jsT-bw;sacred tree in Heliopolis
jsd;fruit
jsd;saliva
jsd;instrument of torture for hands and feet
jsdn;device
jsds;noun
jsdd;Sadness
jS;crocodile god of Dendera
jS;excellent, exquisite
jS;epithet of Thoth
jSt;furniture
jStj;epithet of the goddess Buto
jStt;name for blessed dead
jSw;efficiency
jSf;snake
jSf;tree
jSnn;food
jSr;enter
jSrt;shine
jSrw;goddess in vulture form
jSrt;axe
jSst;cut off
jSS;sailor
jSS;sculptor
jSS;potter
jSS;lament
jSS;challenge
jSSj;Claw, use claw
jSkn;Fruit
jSt-pnw;stonemason
jSd;noun
jSd;goddess
jSdt;quarry
jSdt;noun
jSdd;Osiris
jq;servant
jqjt;stonemason troop
jqwjj;mineral pigment
jqmw;tear off sth
jqr;shield
jqr;shy
jqr;open, excavate
jqr;cave = the beyond
jqrt;scoop
jqrw;take something
jqrw;bowl, cup
jqrw;vessel from Syria
jqrw;bad property of heart and tongue
jqrt;hoe
jqH;epithet of Hathor
jqH;place of the realm of the dead
jqHt;noun
jqHw;Grain
jqs;Wise
jqd?;name of Anubis
jqdw;capsized
jqdw-hnw;air
jk;rain cloud
jk;bad heart condition
jk;cloudburst
jk;joy
jk;realm of the dead
jkt;goddess of the 5 day hour
jk(A)t;evil being
jkw;name of a priest
jkw;verb
jkw-tA;father
jkw-tA;Barley
jkwj;Vulva
jkbw;Nurturing father
jkm;God father
jkm;Osiris
jkm;Bird
jkn;Tissue
jknt;Weapon
jkn;being king
jkn;Child
jkn;King
jkn;Queen
jkn;part of the tomb equipment
jknw;Imperial goddess of Lower Egypt
jknst;part of the tomb equipment
jkst;effective
jkk;Protective goddess of Upper Egypt
jkk;Sanctuary of Osiris
jkkw;Knife
jgAw;waters
jgjw;goddess
jgb;God Atum
jgp;Breathlessness
jgp;deity with bird head
jgp-n-mw;long haired
jgn;sun, sun god
jgrt;sun disk
jgrt;fish
jgrw;earth
jgrtj-np;oppose
jt;sun goddess
jt;the two discs = sun and moon
jt;epithet of the sun god
jt;downy, woolly
jt-mnaj;adversary
jt-nTr;difficulties
jt-nTr;god
jt-HaA;ash
jtA;hole
jtA;Tree of Hathor
jtj;Epithet of Chnum
jtj;Magic remedy
jtj;papyrus
jtjt;keep away
jjtjt;dwelling of the gods
jtjt-xAw;box
jtjt;name for egypt
jtpw;someone's environment
jtfAt;imperial sanctuary of lower egypt
jtfA-wr;stream
jtmt;Imperial sanctuary of Upper Egypt
jtm;Mass
jtmt;river
jtmw;Mile
jtmw;Season
jtmtjj;name of the Nile
jtn;drag
jtn;prison, fortification
jtn;solve
jtn;Noun
jtn;Woven on the ship
jtn;Deity
jtn;Noun
jtnt;Name of Seth as crocodile
jtnwjj;who, which?
jtnj;take possession of inheritance
jtnw;hurry
jtnw;measure, pot, jug
jtnw;take away
jtnw;thief
jtnw;make despondent
jtnw;take, take possession of
jtnw=s;be irregular
jtnw-pDwt;acquire something
jtnw-n-h;name of the flood
jtr;title of the city of Rome
jtr;noun
jtr;insect, bird, winged animal
jtrt;Thief
jtrt;Noun; Toponym
jtrtj;Noun; Toponym
jtrtj;Heaven
jtrt-mHt;Sky
jtr-nwj;Part of the whip
jtrt-Smat;Box
jtrw;tree of Hathor
jtrw;the one to whom one complains
jtrw;prisoner
jtrw;the one who appears = crocodile
jtrw-aA;fly
jtH;something morbid
jtH;noun
jtH-mt;Anger
jtt;youth
jtt;condition of veins
jttj;{jdr} - connect
jT;name for a bovine
jT;to be violent
jT;donation
jT-jwat;hand
jT-gst;team
jT(A);smooth
jTA;pastry
jTA;be deaf
jTA-hh;donate
jTj;girl
jTj-jnj;smart
jTj-jxt;tie, close
jTj-kA;bird
jTj-tAwj;plague
jTjj(n);shore
jTjT;field
jTw;the one of the two banks = the king
jTwt;egypt
jTf;name of a mineral
(j)Tfrr;of the mouth
(j)Tfrr;ship
jTm;red linen
jTnt;red linen cloth
jTnw=s;fill up, supply
jTnw-sw;silo, granary
jTr;ear
jTT;represent
jTT;epithet of Nephthys
jTTt;residues
jdt;Mat
jdt;Representative
jd;Bread
jd;Knot of the belt
jd;herd
jd;keep away
jd;pull away
jd;Bandage
jdt;Heart
*jd;punishment
jdw;Noun
jdA;Delta dweller
jdA-t;name of a priestess
jdj;marsh area of the delta
jdj;prostrate
jdjt;Plant
jda;dress
jdw;part of the body in the viscera
jdw;border
jdw;oil vessel
jdb;Tool
jdb;arm
jdbwjj;be subordinate to someone
jdbwj-Hr;area
jdbw;condition
jdbw;portion
jdp;bowl
jdmj;document
jdmjt;Drawbar
jdn;footprint
jdnt;dammed channel
jdn;interpreter
jdn;address to disease demon
jdnt;moon
jdn-djw;agricultural product
jdnjw;House
jdnw;singer
jdnt;act, action
jdr;deed
jdr;Result of weaving
jdr;Person
jdr;team, row
jdr;Creator's epithet
jdr;Room in the house
jdrjt;link
jdrwt;rope on ship's mast
jdHj;Field
jdHjt;Row of pearls
jdHw;rattle
jdx;Eyelids
jds;Slaughter
jdg;Lower Egypt
jDmn;Smoking arm
jDr;Team
jDrt;Bronze vessel
jDk;Garden
a;incense arm
a;woolen blanket
a;dissecting room of embalming site
a;name for Upper Egypt
a;title of a doctor
a;expression for carousal
a;school
a;school
a;big, to be big, to become big
a;Big
a;size
a;to a great extent
a;here, from here, to here
a;column
a;door leaf, door
a;Gatekeeper
a;noun
a;Donkey
a;Large
a;Difficult
a;Donkey mare
a?;Stone
at;stone vessel
at;tumor
at;Drink
at;Linen
at;dominion?
awjj;noun
awjj n jrt;organic product
at-jwf;haughty
a-mHtj;title of Thot
a-n-Hr;priest title
a-n-Htr;glass river
a-n-xaw;foreman
at-nt-xt;chief
a-n-snTr;Boatman of a side
a-n-sg;Phylarch
at-nmt;Ulcer
a-rsj;title of stone transport official
a-Hmwt-StAt;black granite
at-Hqt;solid rock
at-sbA;fire embers
at-sbAw;cheer
aA;sanctuary
aA;sky
aA;phallus
aA;Myrrh
aA;waterhole
aA;splash
aA;create
aA;Same
aA;disease
aA;condition of hair
aAt;Reed
aAt;Seed
aAt;Vessel
aAt;ithyphallic
aAt;Size
aAt;Difference
aAt;reed
aAt;donkey load
aAt;whip container
aAt;helically wound
aAt nTr;tree
aA-jb;be pleasing
aA-aA;give
aA-wab;donation
aAt-wdH;wash jug
aA-n-jst;reproach
aA-n-mhwt;Apophis
aA-n-rjt;Noun
aA-n-sA;flame
aAt-nt-sA;Throwing wood
aA-n-St;Asian
aAt-rwDt;Asian
aAt-rwDt;official used
aAj;field plant
aAj;evil demons
aAjt;smash
aAjt;beat, mistreat
aAjj;hoof
aAj-nd;ointment
aAa;resin
aAa;growth, tumor
aAa;irrigated land
aAa;bread
aAa;fish
aAa;pale
aAa;fertilize
aAat;cup
aAaA;whoop
aAaj;vessel
aAw;eye
aAw;be beautiful
aAw;limestone
aAw;cover with limestone
aAw-n-smj;sweat
aAwt(jj)?;inherit
aAb;grave
aAb;pot
aAb;accusation
aAbt;large <<variant of {aA}?>>
aAbt;officially used
aAp;of fearful people
aApp;child
aAf;something bad
aAfjt;sleep
aAm;pathological behavior of the heart
aAm;sleep, slumber
aAmt;comb
aAmw;those with tousled hair
aAmw;disease
aAmwt;Nile
aAh;tent
aAg;bird
aAg;crane
aAgt;pathological behavior of the heart
aAgt;scepter
aAgjt;small cattle
aAtt;sin
aAd;vessel
aAdt;goats
aAdw;sheep
aAD;care for sb.
aAD;disdainful reputation
aj;rot
aj;rot
ajjt;robbery
ajn;bread
ajn;rob
ajn;robber
ajn;harvest
aa;robber
aa;drink
aa;reaper
aa;Harvester
aat;part of the human body
aaA;Part of the net
aaAm;Noun
aaj;Bird
aaj;Noun
aajw;fish
aaw;cheat
aaw;whine
aaw;sleep
aab;tree
aabt;stick
aafs;part of the wagon
aam;greedy
aanj;greed
aanj;cheat
aant;cheat
aw;roast
aw;vessel
awt;writing
awt;shepherd, scepter bearer
awt;horn
awt;unite
awt-nDst;boast
awt-HDt;enemy
awA;Crocodile
awA;Sinful
awA;be pure
awA;Priest title
awAt;Greyhound
awAA;Sanctuary
awAj;Bowl
awAj;Stone
awAj;uncleanliness
awAjt;Weaver
awAjt;Play with sticks
awAjw;Pitcher
awAw;grains
awAt;something used at mouth opening
awj;meal
awjt;Priest title
awa;Name of the year
awaw;Byword of the king at the field gift
awbbw;staff
awn;command
awn;offer
awn;skillfully
awnt;serve someone
awnt;sacrificial stone
awnt;offering table
awn-jb;shine
awnt-jb;light
awnw;Epithet of Horus
awnwn;bird
awg;with wise counsel
awt;Altar
awtj;Ribbon
awtjj;reins
ab;boast
ab;Name of the phallus
ab;noun
ab;boast
ab;seem
ab;regular
ab;noun
ab;action in pottery
ab;Noun
ab;dirt
ab;bird
ab;cleaning
ab;lettuce
ab;Grain raiser
abt;Stone
abt;Cleaner
abt;Bird
abt;fork as scepter
abt;horned
abt;epithet of the imperial goddess of Upper Egypt
ab-pr-wr;breakfast
ab-njAw;smooth
ab-drpt;knock
abA;harvest
abA;sun (as winged beetle]
abA;spear
abA;vessel
abA;scoop full
abA;Frog
abA;wine jug
abA;Star
abA;snake
abA;oppose
ab(A);servant
abA-rA;worm
abAjjt;pass through
abA(j)t;fly
abjj(t);sun as winged beetle
aba;hostile creature
aba;snake goddess
abab;deities
abab;passing through
abab;sacred ram
abab;sun disk
ababt;worm or snake
ababt;equip
ababjj;Ship's crew
abw;tassel
abw;dress
abw;foreign worker
abw;as a heading to sacrificial objects
abw;jug
abw;Moon eye
abw;equip with the creature
abw;Equipment
abwt;Jewelry
abwtj;21 day of the lunar month
abwtt;Beetle
abw-rA;Grasshopper
abb;animal
abb;squeeze
abb;Weed
abb;Mass
abbt;plant
abr;tear off, cut to pieces
abH;Flesh rag
abxn;Plant
abS;Bedouin camp site
abS;noun in title {Hry afAyt}
abS;Bee
abS;greedy
abtnw;Honey bee
abd;Name of the crocodile
ap;fly
apj;envelope
apj;vessel
apj;bandana
apj;shoe
apjt;the one who is coiffed
apa;that
apw;Braür
apwj;name for gods
app;lead
apnnt;title of a Min priest
apr;nail
apr;box
apr;swallow
apr;know, experience
apr;something that makes noise
aprt;animal body part
aprt;institution
aprt;keep secret, repent
apr-m-jrw;epithet of Thoth
aprw;become sour
aprw;beer mug
aprw;precious stone
apSAj;officially used plant
apSAjt;part of the body of Osiris
apSwt;garden
af;smear
af;Kloss
af;body part
aft;Noun
afA;feet terry
afAt;Uncut
afAj;beer type
afAj;swallow
afAjjt;Noun
afj;Ointment for rubbing
afj;Designation of women whose urine is used officially
afj-n-bjt;soil
afa;throwing wood
aff;wood used for hunting birds
afn;part of the grain
afn;to rub
afnt;container for bread etc.
afnw;grain
afnwtjj;devour
aftj;Soil
aftj;Animal
aftjw;officially used
afd;Food
afd;Part of animal body
afd;animal at the court of the dead
afDt;thrash
am;part of the temple administration
am;walker, pilgrim
am;baker
am;dairy cow
amt;to put together, to unite, to jump on
am-jb;cloud
am-tAwj;butchered piece
amA;to be dull
amA;field
amA;part of the carriage
amA;turn away from something
amAt;vessel
amAn;tablet to write on
amj;turn around
amj;again, once more
amjt;eye
ama;be beautiful
ama;Good
ama;Mat
ama;Phyle
ama;Diadem
ama;Qüraxt
amat;Nail, claw
amat;Ring
amat;second
amaA;Epithet of Hathor
amaAt;Bird
amaa;beauty
amam;call to account
amam;cheerful
amam;Epithet of Hathor
amam;name of Hathor
amamt;report
amamw;part of the body of the cow
amw;waters
amw;part of the human body
amm;to be yielding
ammjt;baboon
amnt;reject
amr;complain
amr;chin
amr;neck
amrjt;worm or snake
amq;stones
amt;Ornament
amt;Mat
amd;Plant
amd;stem
amdj;close
amD;as unit of measure
an;Mendes
an;entwine
an;body part
an;fruit tree
an;coils
an;two snakes coiling
an;bird
an;rope
an;baboon
an;pebble
an;Bird
ant;sandal strap
ant;live, be alive
ant;life
ant;Initiation of an oath
ant;oath
ant;swear
ant;prisoner of war
ant;Bouquet of flowers
an-wSb;beetle
an-Hr;flood
ant-Hr;alabaster
ant-xaw;Mirror
an-smj;vessel
anj;Door leaf
anj;document
anjj;livelihood
anaj;Billy goat
anan;<<in personal names>>
anan;Subdivision of a phyle
anan;Life
anan;earth, land
anan;Epithet of Hathor-Isis
anart;eye of a god
anw;Grain
anw;Goat
anw;Name of the fire
anb;West
anb;Tassel
anb;Anointing
anbjjt;Device
anpt;Name of Osiris
ann;Plant
annt;Decanstern
annw;amulet
annw;common soldier
annwj;Citizen
annbw;townswoman
annt;plant
anr;god leg name
anrt;Living
anHbt;Stars
anx;Ears
anx;Product
anx;Bring flood
anx;Goddess Anukis
anx;Goddess Anat
anx;this one?
anx;Goddess Anat
anx;resin
anx;sacred snake
anx;part of the wing
anx;to be little, deficient
anx;small number of people
anx;Busirisgau
anx;waters of the Busirisgau
anx;byname of Osiris
anx;bowl, vessel
anx;Sunshine
anx;Pitcher
anx;Ointment
anx;<<in: {anDr-n=s} "necropolis">>
anx;ascend
anxt;Stairs
anxt;rush
anxt;Goat
anxt;Pebble
anxt;token
anxt;Core
anxt;Stem of lotus flower
anxt;Noun
anxt;Scroll
anxtj;Lower jaw
anx-jmj;Posterior, anus
anx-m-xrjt;Decan name
anx-mrr;Snake
anx-n-mSa;Name of the door wings
anx-n-nwt;Annals
anxt-n-nwt;Door beam
anx-tAwj;Designation of a sacred place
anxj;Designation of the sky
anxw;Waters
anxw;Constellation
anxwj;hall
anxt;to perform something
anX;ascend
anq;object
anqt;body part
ant;animal
antj;snake
antj;Tree
antjw;Gate
and;disease symptom
anD;Trawl
anD;Cow
anDt;Deposit
anDt;bag
anDt;wrap
anDtj;squeeze in bag
anDjt;tissue
anDw;knot
anDw;drink
anDw;gatekeeper
anDr;lion shaped creature
ar;gate
ar;evil
ar;lenses
ar;bend
ar;ankle
ar;wrap
ar;complete
art;to be wise, to understand
art;to swear, to swear
art;measure for fruits
art;part of the carriage
art;end
art;corner, turn, bend, angle
art;ribbon
artj;sash bearer
art-hrw;last day of the year
arjt;holy place in Abydos
arjt;last day of the month
arjt;resolution
arjt;stripes
arjt;silver
arajt;high chamber, basement
arar;waters in Upper Egypt
arar;frighten
arar;rope
arar;to catch, to tighten
arar;wipe
arar;byname of Osiris
arart;palace
arw;keep in net
arwt;net transformation
arwt;Field
arwjjt;Palace
arwtjj;hook at mouth opening
arbt;byname of Osiris
arf;fight
arf;fight
arf;fighter
arf-nTr;adverse
arm;ship device
arm;Demon in Beshape
ar(r)jjw;Nile perch
arrw;Name of the hippopotamus
arrwt;warship
arS;Battlefield
arSn;epithet of lion headed goddesses
arq;the 2 fighters = Horus and Seth
arq;oil
arq;weapons
arq;fighter
arq;male
arq;bicker
arq;men
arq;mast
arq;stand
arq;stand of a star
arq;lack
arq-jns;pile
arq-rnpt;adverse
arq-HH;amount
arqj;large mass
arqjt;measure for beer
arqw;smoker
arkwr;servant in house
art;ship
artj;body
arD;Height
aH;treasure, magazine
aH;<<in title {Hry aHaw sSn n pr-imn}>>
aH;Size
aH;Grave
aH;heap, abundance
aH;<<abbreviation for {Hry-pr aHa} "standing servant" >>
aHt;to stand averted
aHt;facing someone
aHt;sit down to eat
aH-nTr;expression for "eat
aH-rmjt;from the skipper
aHA;part of the tomb of Amenophis I
aHA;noon
aHA;servant
aHA;6 day hour
aHA;southern celestial pillar
aHA;Part of the palace
aHA;Location
aHA;Memorial stone
aHAt;Neck
aHAt;Heron
aHAt;Designation of sacred snakes
aHAwj;Assistance
aHA-T;Obstacles
aHAw;Lifetime
aHAwtj;Field worker
aHAwtj;Fire pool
aHAwtj;Place of burnt offering
aHAwtjw;burn
aHa;Plant
aHa;Disease
aHa;Accumulation of liquid
aHa;bruise
aHa;lift
aHa;Bird
aHa;Furnace heater
aHa;Waters
aHa;disease
aHa;fire basin
aHa;delete
aHa;fuel
aHa;fly
aHa;Enter temple
aHa;shore
aHa;name of an ichtneumon
aHat;one of the {sbxt} gates
aHat;fruit
aHaw;evaporate
aHaw;griffin
aHa-anw;bird
aHa-m-dwn=f;wing
aHa-Hms;aviary
aHa-Hmsj;fly
aHa-tptj;sacred being
aHaj;image of gods, falcon
aHaj;image of the holy goat of Mendes
aHajt;evil being in the sky
aHajt;name of the oil
aHajt;leaves of a plant
aHajt;close eyes
aHaw;frond
aHaw;cabinet
aHaw;noun
aHaw;goddess Astarte
aHaw;call, summon
aHaw;Call
aHaw;meal for soldiers
aHaw;groan
aHwtj;cedar
ax;beer mug
ax;food
ax;lumber
ax;pilot of the ship
ax;shout loudly
axt;be much
axt-nt-snf;multiplicity
axj;bird
axj;lizard, gecko
axw;people, crowd
axw;much
axw;rich in birds = richer
axwt;garrulous
axm;garrulous
axm;excessive screaming of children
axm;brag
axm;throat
axmt;throat
axm-n-ra;strangle
axm-DAft;screaming of a child
axrt;throat
axx;oppress
axx;enter, enter
aX;confidant, client
aXt;Noun
aXt;Staff
aXj;cormorant
aXm;common bread
aXm;Initiate
aXm;coming from outside
aXm;study literature
aXm;go for it
aXm-sbqt;marriage
aXmw;being right
aXn;right doer
aXn;accurate
aXnwtj;Right
asg;towards
astrt;rope of certain type on ships
aS;Correct handling of rope
aS;Priest
aS;part of the body of the cow
aS;Waters in the gau of Prosopolis
aS;Transport ship
aS;correctness
aS;solemn entry of the king
aS;priest
aS-n-nar;servant
aS-HAt;enter, reach
aS-sHn;income
aS-sgb;waters in the sky
aSA;Wood
aSA;ship
aSA;capsize
aSA;Ferryman in the beyond
aSAt;Waters near Mendes
aSAtj;sack <<= {arq}?>>
aSA Apdw;?
aSA-rA;end of a staff
aSA-xrw;drown
aSAwt;Claw
aSjw;waters near Mendes
aSa;Bread
aSaS;Shot
aSaS;wood from Assur
aSwt;roast
aSS;capsize
aSq;official used
aq;ointment
aq;claw
aq;part of a plant
aq;to let out a scream
aq;gods
aq;jar base
aq;water body near Mendes
aq n wnm;Noun
aq-jb;noun, technical expression
aq-m-rwtj;Chariot
aq-m-sS;bread
aq-n-Hr;dress, clothe
aq-r-pr;Leather belt
aqA;noun
aqA;strain
aqA;plant
aqA;fish
aqA;fruit
aqA;conspiracy
aqA;fork
aqA;be well
aqA;epithet of the sun
aqA;perceive
aqAj;hear
aqAjt;smell
aqj;chop
aqj;burn, fry
aqjt;land at the edge of the desert
aqaq;plant
aqw;fat
aqw;something put on the fire
aqw;clean
aqw;fish
aqw;water in the hereafter
aqw;Ichneumon
aqn;carnage
aqnw;fat mass
aqr;oil
aqq?;cedar oil
akt;be agitated
akA;priest title
akA;wrong, mistake
akn;be guilty
akk;sacrilegious
agt;Palate
agt;noun
agA;part of a building
agA;exult, rejoice loudly
agA;fish
agA;the heavens
agA;exult, rejoice
agAt;anointing oil
agjt;disease demon
agag;bracelet
agw;oil
agn;helper
agnt;part of the chariot
agnt;official used
agrjj;the executioners
agrt;youth, servant, lad
ags;virgin
ags;page of the prince of Byblos
agsw;youth
aggt;virgin
atx;Quail chick
ad;District
adw;she
adn;rope, cord
adt;get involved with
add;dry
aD;think
aD;curse the N N
aD;transport boat
aD;coffin lid
aD;?
aD;rope, ribbon
aD;bad characteristic of man
aD;way
aD;sinew
aD;temple road
aD;entered way
aD;inside
aD;official used
aD;be far
aD;get ready to
aD;blow
aDt;come
aDt;to front someone
aDt;disease-bringing demon
aD-aS;mineral
aD-pt;to be unknown
aD-nTr;woe!
aDA;for a long time, from far away
aDA;surf
aDA;conspirator
aDA;conspirator
aDA;plan, consider
aDjjt;evil plan
aDaD;far
aDw;to prepare
aDwt;rope
aDb;fire
aDmm;object made of plants
aDn;Name of the Nubian borderland
aDnt;Shine of the sun
aDnt;root
aDr;officially used plants
aDr;Rope on the ship
aDrn;hill
aDt;part of the crown sitting on the head
aDtjjw;dune
aDd;gratifying
aDdt;dam
aDd-aA;sheep
aDd-Srj;dry
aDdt-Srjt;plant
w;wooden barque part
w;officially used plant
w;flute
w;vessel
wA;lace up
wA;name of a priest in Ombos
wA;dance
wA;curse
wA;flute
wA;birdie
wA;string
wA;bracelet
wA;be flooded
wAt;lay, daürn, let
wAt;wreath
wAt;noun
wAt-nt-art;mineral
wAt-nTr;one of the wailers
wAt-rd;donation
wAt-Xnw;station of the procession road
wAA;be friendly
wAj;make camp
wAj;make camp
wAj;sacrifice
wAj;sacrificer
wAj;water dispenser
wAj;impose death
wAjj;accuse someone
wAj-m-Hr;water flower
wAw;donate feast
wAw;decompose number
wAw;settlement
wAw;yield of harvest
wAwtj;Sacrifice donation
wAwA;Green of the plants
wAwA;Waters in the realm of the dead
wAwA;being flooded
wAwA;portico
wAwAt;rejoice
wAwAt;Scepter
wAwAt;welfare, happiness
wAwAt;be happy
wAwAw;Wretched
wAb;subdivision of a phyle
wAb;dress
wAb;Thebes
wAbt;name of a fox-headed patron god
wAbt;Ruins
wAbt-n-Sa;Theban, Theban
wAb-Hr-jb;citizen
wAbw;deity
wApt;to be ruined
wAm;powerful, prestigious
wAm;prestige
wAmj;Stretcher
wAnb;place from which sun god comes
wAnr;name for people
wAnr;officially used
wAr;disease
wAr;whoop
wAr;feast
wAr;prisoner
wAr;Papyrus stem
wAr;offspring, son
wArt;papyrus column
wArw;amulet
wArx;name for spices
wAH;to be green, to prosper
wAH;Happy
wAH;green plants
wAH;grain
wAHt;green stone
wAHt;green color
wAHt;tube bead
wAH-jb;poultry
wAH-jhj;fish
wAH-jhw;stomach disease
wAH-jxt;pastry
wAH-jxt;Part of the fish net
wAH-mw;Vegetables
wAH-mt;fruit
wAH-mdt;green cloth
wAH-nHb;designation of the moon eye
wAH-Hb;name of the bow, name of a priestly phylum
wAH-tp;Crown of Lower Egypt
wAHjt;snake goddess of Lower Egypt
wAHjt;Gau of Aphroditopolis
wAHjt;Vegetable gardener
wAHwAH;Uraeus snakes
wAx;how joyful
wAx;full of life
wAx n pr-aA;Sea
wAxj;food
wAxj;aegean sea
wAxx;semi-precious stone
wAs;duck
wAs;food table
wAs;bird
wAs;portico
wAs;green makeup
wAst;raw meat
wAst;success, happiness
wAst;to be green, to make
wAst;green plants
wAstj;mineral
wAstj;connect, sew, weave
wAsjjt;protective god
wAsj;green plants
wAS;me
wAS;mummy cover
wAS;ship
wAS;reject
wASt;without
wASbt;bird
wASS;pathological appearance at the heart
wAg;sun ship
wAg;apart from
wAg;old age
wAtjj;unsuccessful, fainting
wAD;woe
wAD;reject
wAD;become unfaithful
wAD;harpoon
wAD;one, one
wAD;inherit
wAD;designation of the sun eye
wAD;Name of the Uraeus Serpent
wAD;Name of Hathor
wAD;part of the sky
wAD;Heir
