=i҆|I
i҆n|to cut
i҆nt|clothing
i҆nt|Part of the latch
i҆nt|Epithet of the Sekhmet
i҆ntt|Name of the Uraeus
i҆n|through, on the part of someone
i҆n|in spells
i҆n|carrier
i҆n|linger
i҆n|knife
i҆n|today
i҆n|double body part of a snake
i҆nt|fish
i҆nt|Place name
i҆nt|valley
i҆nt|fruit
i҆n (i҆w)|<< in Middle Egyptian >>
i҆nw|Geniuses
i҆n-ꜣḫt|Arable yield
i҆n-rꜥ|abstract
i҆nt-rd|Blur footprint
i҆n-ḥrt|Divine name
i҆ni҆i҆t|Net, trawl
i҆ni҆|bring
i҆ni҆|Name of the red crown
i҆ni҆|line
i҆ni҆t|refrain
i҆ni҆t|Waters
i҆ni҆t|Disease demon
i҆ni҆t|fruit
i҆ni҆t|Part of a plant
i҆ni҆t|Plant as fuel
i҆ni҆-r-i҆sw|to buy
i҆ni҆n|cut
i҆ni҆nt|knife
i҆nꜥt|Weber
i҆nꜥ|chin
i҆nꜥt|chin
i҆nw?|in a victim scene
i҆nw|Gifts
i҆nw|delivery boy
i҆nw|Device for painting bricks
i҆nw|example
i҆nw|something sweet
i҆nwt|Ship cargo
i҆nwt|ferry
i҆nwt|physical pain
i҆nw-mw|Water carrier
i҆nwn|plant
i҆nb|lynx
i҆nb|bird
i҆(n)bt|Lynx fur
i҆nb|Support rod
i҆nb|Wall
i҆nb|plant
i҆nb|Fields
i҆nb|drink
i҆nbt|Lock, fortress
i҆nb-šm|for a protective marsh
i҆nbꜣ|plant
i҆nbꜣ|being mute
i҆nbi҆|Parts of the ship
i҆nbw|Old City of Memphis
i҆nbw|Evil, dirt
i҆nbw-ḥḏ|Memphis
i҆np|to be laid down, to be laid down, to lie on your stomach
i҆np|decay
i҆np|Boat
i҆npw|young king before the accession to the throne
i҆npw|Label for child
i҆npw|Anubis
i҆npwt|goddess
i҆nf|to smoke
i҆nf(w)|mineral
i҆nfw|Eye discharge
i҆nm|who?
i҆nm|skin
i҆nmt|Wine
i҆nmi҆i҆t|the one dressed in a fur
i҆nmkt|Name for allies
i҆nn|if, except if not
i҆nn|ointment
i҆nnt|Net, trawl
i҆nn|we
i҆nn|turn over
i҆nnt-ḥꜥpi҆|Yield of the Nile
i҆nnk|plant
i҆nr|Rope, ribbon
i҆nr|Name of Apophis
i҆nr|tray
i҆nr|stone
i҆nr|Bowl
i҆nr|Worm in the wood
i҆nr|King's headscarf
i҆nrti҆|City of Pathyris
i҆nr-wbꜣ|Object made of stone
i҆nr-n-snt|Name for large stone blocks
i҆nr-nfr|Building block
i҆nr-ḥḏ|limestone
i҆nr-ḥḏ-nfr|Building block
i҆nr-km|black granite
i҆nrn|Oak
i҆nhꜣt|Chapel mud
i҆nhmn|Fruit tree and fruit
i҆nḥ|Eyebrow
i҆nḥ|surround, include
i҆nḥt|Vessel
i҆nḥw|Edging
i҆nḥs|Bracts
i҆nḥt|Vessel
i҆nḫw|Device for plowing
i҆nẖꜥbt|Ocher earth
i҆ns|priestess
i҆ns|officially used
i҆ns|Red
i҆ns|color red
i҆nst|Lower leg with foot
i҆nst|plant
i҆nsi҆|light red linen fabric
i҆nsi҆t|Eye of horus
i҆nsw|Testicles
i҆nsw|king
i҆nḳ|embrace, close
i҆nḳ|Cause flood
i҆nḳt|network
i҆nḳti҆|Nickname of a god
i҆nḳfḳft|Part of the car
i҆nk|I
i҆nki҆|Ropes on the ship
i҆nktwn|officially used
i҆nt|smooth
i҆nti҆|drive back
i҆nti҆s|1 day of the 1st and 3rd month of the {Smw} time
i҆ntnt|hold back
i҆ntš|animal
i҆ntti҆|Nickname of the sun god
i҆nṯt|Fetter
i҆nṯw|Parts of the ship
i҆nd|saddened, sad
i҆nd|Sadness
i҆nd|Sadder
i҆ndbw|noun
i҆nḏ|sick, wounded
i҆nḏw|Measure for charcoal
i҆nḏw|bag
i҆rt|sky
i҆rt|bird
i҆r(t)|Subdivision of a phyle
i҆r|if
i҆r|as for
i҆r|lion
i҆r|Distance
i҆r|See
i҆r|be
i҆r|eat
i҆rt|water
i҆rt|headscarf
i҆rt|eye
i҆rt|what to do
i҆rt|flame
i҆rti҆|both eyes
i҆rti҆|Sun and moon
i҆rwi҆|eyes
i҆rt-ꜥwi҆|bracelet
i҆r-ꜥw|at someone's side
i҆rt-bi҆nt|evil look
i҆r-pt|officially used
i҆r-m-ḫt|after that
i҆rt-nbt|anyone
i҆rt-rꜥ|Egypt
i҆rt-rꜥ|Nickname of Hathor
i҆rt-rꜥ|Name of the sun
i҆rt-rdwi҆|Ankle band
i҆rt-ḥr|Eye of horus
i҆rt-ḥr-ꜣḫt|Name of the red crown
i҆rt-ḫḫw|collar
i҆r-sp|once
i҆rt-šnbt|Chest hangings
i҆r-tꜣ|World creator
i҆rt-tbi҆|Name of the sun
i҆r-ḏr|as soon as
i҆rt-ḏrti҆|bracelet
i҆ri҆|belonging to
i҆ri҆|comrade
i҆ri҆|ointment
i҆ri҆|Field designation
i҆ri҆|Aries
i҆ri҆|do, do
i҆ri҆|knife
i҆ri҆t|Comrade
i҆ri҆t|to something related
i҆ri҆t|did
i҆ri҆t|Dairy cow
i҆ri҆t|Grain as a donation
i҆ri҆w|Label for clothes
i҆ri҆w|Designation for enemies
i҆ri҆w-pt|Birds
i҆ri҆-i҆ꜣwt|Exercise office
i҆ri҆-i҆b|Wine
i҆ri҆-i҆mn|Take a stay
i҆ri҆-i҆rw|Perform ceremonies
i҆ri҆-i҆rw|Pay cattle tax
i҆ri҆-i҆ḫt|Overseer
i҆ri҆-i҆ḫt|be active, sacrifice
i҆ri҆-ꜥt|Property manager
i҆ri҆-ꜥꜣ|usher
i҆ri҆-ꜥꜣi҆|Determine the difference
i҆ri҆-ꜥnḫ|to provide for someone’s livelihood
i҆ri҆-ꜥḏ|Name for domestic servants
i҆ri҆-ꜥḏt|Cause carnage
i҆ri҆-wꜥrt|flee
i҆ri҆-ws|put an end to it
i҆ri҆-wdf|give someone a deadline
i҆ri҆-bḥ|Do slave labor
i҆ri҆-pḏt|Arch support
i҆ri҆-mꜣꜥt|Do the right thing
i҆ri҆-mꜥḳ|roast, offer roast
i҆ri҆-mw-n-rꜥ|Cupbearer of Re
i҆ri҆-mr|complain
i҆ri҆-mḫꜣt|Balance master
i҆ri҆-mḏꜣt|Clerk assistant
i҆ri҆-n-ḥꜣti҆=f|act according to someone's wish
i҆ri҆-n-ḥms|Name of the wife
i҆ri҆-nw|spend time
i҆ri҆-npꜣ|Make a donation of water
i҆ri҆-npḥ=s|their milk
i҆ri҆-nm|Execute execution
i҆ri҆-nḫbt|Establish a series of names for the king
i҆ri҆-nswi҆t|Be king
i҆ri҆-nḏt-ḥr|offer
i҆ri҆-nḏmmt|having sexual pleasure
i҆ri҆-rdwi҆|companion
i҆ri҆-hꜣw|Take possession
i҆ri҆-hꜣnw|flood
i҆ri҆i҆-hp|title
i҆ri҆-hrw|Spend day
i҆ri҆-ḥꜣt|pilot
i҆ri҆-ḥꜣt|Priestly title
i҆ri҆-ḥꜣt-(n)|to lead someone
i҆ri҆-ḥwꜣꜣt|get bad
i҆ri҆-ḥb|Celebrate celebration
i҆ri҆-ḥb-sd|Celebrate the anniversary
i҆ri҆-ḥmt|marry
i҆ri҆-ḥmi҆|Be the helmsman
i҆ri҆-ḥmi҆t|Helmsman
i҆ri҆-ḥmw|Taxes
i҆ri҆-ḥmw|Helmsman
i҆ri҆-ḥms|settle down
i҆ri҆-ḥms-nfr|God Arensnuphis
i҆ri҆-ḥn|Make a donation of potions
i҆ri҆-ḥst|Perform cult
i҆ri҆-ḥsst|Perform cult
i҆ri҆-ḫꜥ|Celebrate celebration
i҆ri҆-ḫprw|Take shape, transform yourself
i҆ri҆-ḫfti҆|be hostile to
i҆ri҆-ḫn|accomplish something
i҆ri҆-ḫri҆t|Cause bloodbath
i҆ri҆-ẖrt|provide for need
i҆ri҆-st|Take a seat
i҆ri҆-sꜣ|protect
i҆ri҆-sꜣrw|Fulfill wishes
i҆ri҆-si҆pti҆|Hold revision
i҆ri҆-swꜣw|pass
i҆ri҆-sbꜣi҆t|train, punish
i҆ri҆-spr|title
i҆ri҆-sprwt|Fulfill requests
i҆ri҆-sm|to keep oneself busy
i҆ri҆-smi҆|Show
i҆ri҆-snkt|God in the underworld
i҆ri҆-sḥḏ|title
i҆ri҆-sḫrw|take care of
i҆ri҆-sd|title
i҆ri҆-sḏḏ|change oneself
i҆ri҆-šwi҆ti҆|trade
i҆ri҆-šfw|sinful act
i҆ri҆-šnw|Look through files
i҆ri҆-ḳd|do something exemplary
i҆ri҆-grf|make an effort
i҆ri҆-gs|next to someone
i҆ri҆-gs|cut in half
i҆ri҆i҆-tꜣ|Priestly title
i҆ri҆-ti҆w|agree
i҆ri҆-ṯst|complain
i҆ri҆-dḥr-ḥꜣti҆|grieve someone
i҆ri҆-ḏw-sḏḫi҆|act outrageously
i҆ri҆r|leader
i҆rw|Piece of meat
i҆rw|Eyewitness
i҆rw|Wood species
i҆rw(t)|Vessel
i҆rw|be
i҆rw|Job title
i҆rw|someone's duty
i҆rw|creature
i҆rw|Delivery cattle
i҆rw|food
i҆rwt|Bez for women
i҆rwt|Part of the ship
i҆rw-i҆ḫt|Workers
i҆rwt-i҆ḫt|Workforce
i҆rw-ꜥḥꜣw|Arrow maker
i҆rw-pḏt|Bow maker
i҆rw-mḏr|Job title
i҆rti҆w-ṯmst|Fabric of red color
i҆rwtn|illness
i҆rbꜣ|rhino
i҆rp|Wine
i҆rp|Vine
i҆rp|Waters in the Elephantine district
i҆rpt|Wine goddess
i҆rp-ḥꜣmw|Type of wine
i҆rp-šd|Offering
i҆rp-ḏsḏs|Wine from Bahriye
i҆rpi҆|Designation of a god
i҆rpi҆|Product of God's land
i҆rm|along with
i҆rr|shine, shine
i҆rrt|Faience
i҆rr|Bronze vessel
i҆rḥnnt|Bird or insect
i҆rḫ|Semi-precious stone
i҆rḳbs|Rock crystal
i҆rḳb(t)|mirror
i҆rḳs|basket
i҆rkt|Tree trunk, beam
i҆rgs|basket
i҆rt?|mineral
i҆rti҆i҆|noun
i҆rti҆|belonging to the milk
i҆rti҆w|fruit
i҆rti҆w|blue colour
i҆rti҆w|blue linen
i҆rti҆w|Appearance of festering tumors
i҆rti҆w|Sadness
i҆rti҆w|Watch out!
i҆rti҆w|Foreign people
i҆rtḏr|bird
i҆rṯ|fish
i҆rṯ|noun
i҆rṯt|milk
i҆rṯt|Name of the sycamore juice
i҆rṯt|Land in Nubia
i҆rḏ|flower
i҆h|on
i҆ht|Celestial cow
i҆h-hnw|Shouting
i҆hꜣi҆t-mrw|Ship for cattle
i҆hi҆|Hey!
i҆hi҆|joy
i҆hi҆|complain, utter wail
i҆hi҆|building
i҆hi҆|Grain
i҆hw|Encampment
i҆hb|dance
i҆hb|Dance song
i҆hb|dancer
i҆hbt|dancer
i҆hm|push
i҆hm|walk slowly
i҆hm|mourn
i҆hm|Cheers
i҆hmt|myrrh
i҆hmt|officially used
i҆hmw|the one who walks slowly
i҆hmsw|Deity, son of Nefertem
i҆hmst|rope
i҆hr|Nomads' tent
i҆hhi҆|Shouting
i҆hhi҆|Firmly
i҆hhn|Wood
i҆ḥ|on
i҆ḥ|Weight in cattle form
i҆ḥ|Beef
i҆ḥ|Bread, cake
i҆ḥ|tree
i҆ḥ|walk
i҆ḥ|Call at rowing and funeral procession
i҆ḥ|cry
i҆ḥ|enjoyable
i҆ḥt|cow
i҆ḥti҆|Inner surfaces of the thighs
i҆ḥ-pt|Constellations
i҆ḥ-nw|Beef
i҆ḥi҆i҆|Deity
i҆ḥi҆i҆|Wicks, braids
i҆ḥi҆|darken
i҆ḥi҆|Ihi, child of Hathor
i҆ḥi҆|Make music, music
i҆ḥi҆|dean
i҆ḥi҆|Seth
i҆ḥi҆|bag
i҆ḥi҆|Marsh plant
i҆ḥi҆t|Musician
i҆ḥw|fruit
i҆ḥw|Old age
i҆ḥw|Pieces? of copper
i҆ḥw|barn
i҆ḥmmti҆i҆|Deity
i҆ḥms|servant
i҆ḥmti҆|God
i҆ḥtt|Farm tax
i҆ḥti҆|throat
i҆ḥti҆|God in shape
i҆ḫ|Oh!
i҆ḫ|What?
i҆ḫt|Thing
i҆ḫt|goddess
i҆ḫwt-ḳnw|Honor
i҆ḫt-wtt|Snake
i҆ḫt-nbt|all things, everything
i҆ḫt-nhpw|Early meal
i҆ḫt-nṯr|Property of god
i҆ḫt-ḥꜣt|King's headscarf
i҆ḫt-srf|Victim
i҆ḫi҆ḫ|green
i҆ḫw|Adoration
i҆ḫm|wipe out
i҆ḫmt|shore
i҆ḫm-i҆wt|Occupants of the sun ship
i҆ḫm-sk|Circumpolar star
i҆ḫmw|Designation of the enemies of Egypt
i҆ḫr|snake-headed genius
i҆ḫr|so
i҆ḫr|Slaughter animal
i҆ḫr|Figure, image
i҆ḫrꜥ|noun
i҆ḫḫw|dusk
i҆ḫḫw|Designation of a divine being
i҆ẖꜣ|Leather sack
i҆ẖbw|noun
i҆s|dig
i҆s|chamber
i҆s|Wood
i҆s|old
i҆s|Old
i҆st|Landmark
i҆st|palace
i҆st|Troop, crew
i҆st|Trachea, throat
i҆st|Old age, decay
i҆sti҆|Egypt
i҆sti҆|Sailors of the gods
i҆s|as if
i҆s|oil
i҆s|Title of a Hathor priest
i҆s|Dead stench
i҆s-n-kꜣt|working space
i҆s-nꜣw|Breathing air
i҆s-ḏfꜣ|kitchen
i҆si҆i҆|Cut, loss
i҆si҆|go!
i҆si҆|who?
i҆si҆|be light
i҆si҆|malaise
i҆si҆|line
i҆si҆wt|old clothes, rags
i҆sw|call, appeal
i҆sw|People with market value
i҆sw|noun
i҆sw|reed
i҆swt|Old one
i҆sw|replacement
i҆sw|Products of a country
i҆swi҆|Angry
i҆swi҆|Testicles
i҆swt|so as how
i҆swt|Cedar board
i҆sbt|throne
i҆sbt|Base for statues, steles
i҆sbnbn|go to bed
i҆sbr|whip
i҆sbr|Plant from Syria
i҆spt|speech
i҆sp(t)|language
i҆sp|hairy
i҆sp|Device for ointment
i҆sp|(Verb from the body of a hungry man)
i҆spt|quiver
i҆sft|Wrong
i҆sfti҆|sinner
i҆smꜣt|dean
i҆smr|mineral
i҆sn|close, close
i҆sn|skin
i҆sn|Testicle
i҆sni҆i҆t|Latch made of wood
i҆snw|Good
i҆snwt|Evil
i҆sr|scepter
i҆sr|tamarisk
i҆srt|Tamarisk trees
i҆sr|plant
i҆srti҆i҆w|College of Gods
i҆shꜣ|Linen strips
i҆shb|wolf
i҆sḥm|Waters
i҆ss|to catch
i҆ss|Damn it
i҆ss|Punish
i҆ss|Place of the realm of the dead
i҆ssi҆i҆t|network
i҆sḳ|hesitate, linger
i҆sḳnḳn|fight in retreat
i҆skt|noun
i҆skn|guardian
i҆st|Silo, granary
i҆stti҆i҆|Deity
i҆stn|laced around
i҆str|Goddess Ishtar
i҆sṯti҆|Wind genius
i҆sṯ-bw|Is not it?
i҆sd|spew; pour out his heart
i҆sd|saliva
i҆sdn|Thoth
i҆sds|Designation of God
i҆sdd|bad ghost
i҆š|pull out
i҆š|Dogs that pull sun ship
i҆š|saliva
i҆št|Have, possessions
i҆šti҆|Merchandise
i҆štt|Food, meal
i҆šw|Spit out
i҆šf|burn
i҆šf|painful
i҆šnn|War cries
i҆šr|food
i҆šrt|Roast piece
i҆šrw|Karnak Mother Temple
i҆šrt|hoe
i҆šst|What?
i҆šš|Product of the country punt
i҆šš|spit out
i҆šš|saliva
i҆šš|wear
i҆šš|picture
i҆šši҆|Seth
i҆škn|belt
i҆št-pnw|plant
i҆šd|Deciduous tree with fruits
i҆šd|sweet fruit
i҆šdt|sacred tree in Heliopolis
i҆šdt|fruit
i҆šdd|saliva
i҆ḳ|Torture instrument for hands and feet
i҆ḳi҆t|device
i҆ḳwi҆i҆|noun
i҆ḳmw|sadness
i҆ḳr|Crocodile god of Dendera
i҆ḳr|excellent, excellent
i҆ḳr|Nickname of Thoth
i҆ḳr|Furniture
i҆ḳrt|Nickname of the goddess Buto
i҆ḳrw|Term for blessed dead
i҆ḳrw|Proficiency
i҆ḳrw|Snake
i҆ḳrw|tree
i҆ḳrt|Food
i҆ḳḥ|to enter
i҆ḳḥ|to shine
i҆ḳḥt|Goddess in vulture form
i҆ḳḥw|ax
i҆ḳs|cut off
i҆ḳd?|sailor
i҆ḳdw|Sculptor
i҆ḳdw-hnw|potter
i҆k|complain
i҆k|challenge
i҆k|Claw, use claw
i҆k|fruit
i҆k|Stonemason
i҆kt|noun
i҆k(ꜣ)t|goddess
i҆kw|Quarry
i҆kw|noun
i҆kw-tꜣ|Osiris
i҆kw-tꜣ|servant
i҆kwi҆|Stonemasons
i҆kbw|mineral pigment
i҆km|to tear off sth
i҆km|sign
i҆km|shy away
i҆kn|open, dig up
i҆knt|Cave = the afterlife
i҆kn|scoop
i҆kn|grab something
i҆kn|Bowl, bowl
i҆kn|Vessel from Syria
i҆kn|bad quality of heart and tongue
i҆knw|hoe
i҆knst|Epithet of Hathor
i҆kst|Place of the realm of the dead
i҆kk|noun
i҆kk|Grain
i҆kkw|Wise
i҆gꜣw|Name of the Anubis
i҆gi҆w|capsized
i҆gb|air
i҆gp|Rain cloud
i҆gp|bad heart condition
i҆gp-n-mw|Downpour
i҆gn|joy
i҆grt|Realm of the dead
i҆grt|Goddess of the 5 day hour
i҆grw|evil beings
i҆grti҆-np|Designation of a priest
i҆t|verb
i҆t|father
i҆t|barley
i҆t|vulva
i҆t-mnꜥi҆|Foster father
i҆t-nṯr|Father of God
i҆t-nṯr|Osiris
i҆t-ḥꜥꜣ|bird
i҆tꜣ|tissue
i҆tꜣ|weapon
i҆ti҆|Be king
i҆ti҆|child
i҆ti҆|king
i҆ti҆t|queen
i҆i҆ti҆t|Part of the grave equipment
i҆ti҆t-ḫꜣw|Imperial goddess of Lower Egypt
i҆ti҆t|Part of the grave equipment
i҆tpw|effective
i҆tfꜣt|Protector goddess of Upper Egypt
i҆tfꜣ-wr|Sanctuary of Osiris
i҆tmt|knife
i҆tm|Waters
i҆tmt|goddess
i҆tmw|God Atum
i҆tmw|Shortness of breath
i҆tmti҆i҆|Deity with bird head
i҆tn|long haired
i҆tn|Sun, sun god
i҆tn|Sun disk
i҆tn|fish
i҆tn|ground
i҆tn|oppose
i҆tnt|Sun goddess
i҆tnwi҆i҆|the two disks = sun and moon
i҆tni҆|Nickname of the sun god
i҆tnw|downy, woolly
i҆tnw|Adversary
i҆tnw|difficulties
i҆tnw|God
i҆tnw|ash
i҆tnw|hole
i҆tnw=s|Tree of Hathor
i҆tnw-pḏwt|Nickname of Khnum
i҆tnw-n-h|Magic drugs
i҆tr|papyrus
i҆tr|keep away
i҆trt|Apartment of the gods
i҆trt|box
i҆trti҆|Name for Egypt
i҆trti҆|Surrounding someone
i҆trt-mḥt|Imperial Shrine of Lower Egypt
i҆tr-nwi҆|electricity
i҆trt-šmꜥt|Imperial Shrine of Upper Egypt
i҆trw|Mass
i҆trw|flow
i҆trw|mile
i҆trw|season
i҆trw-ꜥꜣ|Name of the Nile
i҆tḥ|pull
i҆tḥ|Prison, fortification
i҆tḥ-mt|to solve
i҆tt|noun
i҆tt|Woven on the ship
i҆tti҆|Deity
i҆ṯ|noun
i҆ṯ|Designation of Seth as a crocodile
i҆ṯ|who what?
i҆ṯ-i҆wꜥt|Take possession of inheritance
i҆ṯ-gst|rush
i҆ṯ(ꜣ)|Measure, pot, jug
i҆ṯꜣ|take away
i҆ṯꜣ|Thief
i҆ṯꜣ-hh|discourage you
i҆ṯi҆|take, take possession
i҆ṯi҆-i҆ni҆|be irregular
i҆ṯi҆-i҆ḫt|acquire something
i҆ṯi҆-kꜣ|Name of the flood
i҆ṯi҆-tꜣwi҆|Title of the city of Rome
i҆ṯi҆i҆(n)|noun
i҆ṯi҆ṯ|Insect, bird, winged animal
i҆ṯw|Thief
i҆ṯwt|Noun; Toponym
i҆ṯf|Noun; Toponym
(i҆)ṯfrr|sky
(i҆)ṯfrr|sky
i҆ṯm|Part of the whip
i҆ṯnt|box
i҆ṯnw=s|Tree of Hathor
i҆ṯnw-sw|the one to whom one complains
i҆ṯr|Prisoner
i҆ṯṯ|the one who appears = crocodile
i҆ṯṯ|to fly
i҆ṯṯt|something morbid
i҆dt|noun
i҆dt|anger
i҆d|youth
i҆d|Condition of the veins
i҆d|{jdr} - connect
i҆d|Name for a cow
i҆d|be violent
i҆dt|donation
*i҆d|hand
i҆dw|team
i҆dꜣ|smooth out
i҆dꜣ-t|Pastries
i҆di҆|be deaf
i҆di҆|donate
i҆di҆t|girl
i҆dꜥ|Smart
i҆dw|connect, close
i҆dw|bird
i҆dw|Plague
i҆db|shore
i҆db|Fields
i҆dbwi҆i҆|that of the two banks = the king
i҆dbwi҆-ḥr|Egypt
i҆dbw|Name of a mineral
i҆dbw|from the mouth
i҆dp|ship
i҆dmi҆|red linen fabric
i҆dmi҆t|red linen fabric
i҆dn|fill up, supply
i҆dnt|Silo, granary
i҆dn|ear
i҆dn|represented
i҆dnt|Nickname of the Nephthys
i҆dn-di҆w|Residues
i҆dni҆w|mat
i҆dnw|Representative
i҆dnt|loaf
i҆dr|Knot of the belt
i҆dr|herd
i҆dr|keep away
i҆dr|move away
i҆dr|Association
i҆dr|heart
i҆dri҆t|punishment
i҆drwt|noun
i҆dḥi҆|Delta residents
i҆dḥi҆t|Name of a priestess
i҆dḥw|Wetland of the Delta
i҆dḫ|prostrate
i҆ds|plant
i҆dg|dress
i҆ḏmn|Part of the body in the intestines
i҆ḏr|border
i҆ḏrt|oil vessel
i҆ḏk|Tool
ꜥ|poor
ꜥ|to be subordinate to someone
ꜥ|area
ꜥ|Status
ꜥ|portion
ꜥ|Bowl
ꜥ|document
ꜥ|Drawbar
ꜥ|Footprint
ꜥ|dammed canal
ꜥ|Interpreter
ꜥ|Salutation to disease demon
ꜥ|moon
ꜥ|Arable produce
ꜥ|House
ꜥ|singer
ꜥ|Act, action
ꜥ|did
ꜥ|Result of weaving
ꜥ|person
ꜥ|Team, row
ꜥ?|Epistle of the Creator
ꜥt|Room in the home
ꜥt|element
ꜥt|Rope on the ship's mast
ꜥt|Fields
ꜥt|Row of pearls
ꜥwi҆i҆|Rattle
ꜥwi҆i҆ n i҆rt|Eyelids
ꜥt-i҆wf|butchery
ꜥ-mḥti҆|Lower Egypt
ꜥ-n-ḥr|Low smoking
ꜥ-n-ḥtr|Team
ꜥ-n-ḫꜥw|Bronze vessel
ꜥt-nt-ḫt|garden
ꜥ-n-snṯr|Low smoking
ꜥ-n-sg|woolen blanket
ꜥt-nmt|Dissection room of the embalming site
ꜥ-rsi҆|Name for Upper Egypt
ꜥ-ḥmwt-štꜣt|Doctor's title
ꜥt-ḥḳt|Expression for binge
ꜥt-sbꜣ|school
ꜥt-sbꜣw|school
ꜥꜣ|big, be big, get big
ꜥꜣ|Greater
ꜥꜣ|Size
ꜥꜣ|to a large extent
ꜥꜣ|here, from here, here
ꜥꜣ|pillar
ꜥꜣ|Door leaf, door
ꜥꜣ|usher
ꜥꜣ|noun
ꜥꜣ|ass
ꜥꜣt|Size
ꜥꜣt|Difficult
ꜥꜣt|Donkey mare
ꜥꜣt|stone
ꜥꜣt|Stone vessel
ꜥꜣt|tumor
ꜥꜣt|drink
ꜥꜣt|linen
ꜥꜣt|Domination?
ꜥꜣt|noun
ꜥꜣt nṯr|organic product
ꜥꜣ-i҆b|haughty
ꜥꜣ-ꜥꜣ|Title of Thoth
ꜥꜣ-wꜥb|Priestly title
ꜥꜣt-wdḥ|Glass flow
ꜥꜣ-n-i҆st|foreman
ꜥꜣ-n-mhwt|chief
ꜥꜣ-n-ri҆t|Boatswain one side
ꜥꜣ-n-sꜣ|Phylarch
ꜥꜣt-nt-sꜣ|ulcer
ꜥꜣ-n-št|Title of stone transport officer
ꜥꜣt-rwḏt|black granite
ꜥꜣt-rwḏt|solid rock
ꜥꜣi҆|Embers
ꜥꜣi҆|Cheers
ꜥꜣi҆t|sanctuary
ꜥꜣi҆t|sky
ꜥꜣi҆i҆|phallus
ꜥꜣi҆-nd|myrrh
ꜥꜣꜥ|Water hole
ꜥꜣꜥ|splash
ꜥꜣꜥ|produce
ꜥꜣꜥ|Seed
ꜥꜣꜥ|illness
ꜥꜣꜥ|Condition of hair
ꜥꜣꜥ|reed
ꜥꜣꜥt|Seeds
ꜥꜣꜥꜣ|Vessel
ꜥꜣꜥi҆|ithyphallic
ꜥꜣw|Size
ꜥꜣw|difference
ꜥꜣw|reed
ꜥꜣw|Donkey load
ꜥꜣw-n-smi҆|Whip container
ꜥꜣwt(i҆i҆)?|helically wound
ꜥꜣb|tree
ꜥꜣb|be well-pleasing
ꜥꜣb|give
ꜥꜣbt|donation
ꜥꜣbt|Wash jug
ꜥꜣp|Reproach
ꜥꜣpp|Apophis
ꜥꜣf|noun
ꜥꜣfi҆t|flame
ꜥꜣm|Throwing wood
ꜥꜣm|Asian
ꜥꜣmt|Asian
ꜥꜣmw|officially used
ꜥꜣmwt|Field plant
ꜥꜣh|evil demons
ꜥꜣg|crush
ꜥꜣg|beat, abuse
ꜥꜣgt|hoof
ꜥꜣgt|ointment
ꜥꜣgi҆t|resin
ꜥꜣtt|Growth, swelling
ꜥꜣd|irrigated land
ꜥꜣdt|loaf
ꜥꜣdw|fish
ꜥꜣḏ|turn pale
ꜥꜣḏ|fertilize
ꜥi҆|Cup
ꜥi҆|shout
ꜥi҆i҆t|Vessel
ꜥi҆n|eye
ꜥi҆n|be beautiful
ꜥi҆n|limestone
ꜥi҆n|clad with limestone
ꜥꜥ|Sweat
ꜥꜥ|inherit
ꜥꜥ|dig
ꜥꜥ|pot
ꜥꜥt|accusation
ꜥꜥꜣ|large << variant of {aA}? >>
ꜥꜥꜣm|officially used
ꜥꜥi҆|of fearful people
ꜥꜥi҆|child
ꜥꜥi҆w|something bad
ꜥꜥw|sleep
ꜥꜥw|abnormal behavior of the heart
ꜥꜥw|Sleep, slumber
ꜥꜥb|comb
ꜥꜥbt|those with messy hair
ꜥꜥfs|illness
ꜥꜥm|Nile
ꜥꜥni҆|tent
ꜥꜥnt|bird
ꜥw|crane
ꜥw|abnormal behavior of the heart
ꜥwt|scepter
ꜥwt|Small livestock
ꜥwt|sin
ꜥwt|Vessel
ꜥwt-nḏst|Goats
ꜥwt-ḥḏt|Sheep
ꜥwꜣ|take care of sb
ꜥwꜣ|contemptuous reputation
ꜥwꜣ|rotten
ꜥwꜣ|Putrefaction
ꜥwꜣt|robbery
ꜥwꜣꜣ|loaf
ꜥwꜣi҆|rob
ꜥwꜣi҆|robber
ꜥwꜣi҆|to harvest
ꜥwꜣi҆t|Robber
ꜥwꜣi҆t|drink
ꜥwꜣi҆w|reaper
ꜥwꜣw|Harvesters
ꜥwꜣt|Part of the human body
ꜥwi҆|Part of the network
ꜥwi҆t|noun
ꜥwꜥ|bird
ꜥwꜥw|noun
ꜥwbbw|fishes
ꜥwn|cheat
ꜥwn|whine
ꜥwn|sleep
ꜥwnt|tree
ꜥwnt|floor
ꜥwnt|Part of the car
ꜥwn-i҆b|greedy
ꜥwnt-i҆b|greed
ꜥwnw|Scammers
ꜥwnwn|cheat
ꜥwg|roast
ꜥwt|Vessel
ꜥwti҆|document
ꜥwti҆i҆|Shepherd, scepter bearer
ꜥb|horn
ꜥb|unite
ꜥb|brag
ꜥb|enemy
ꜥb|crocodile
ꜥb|Sinful
ꜥb|be pure
ꜥb|Priestly title
ꜥb|Greyhound
ꜥb|sanctuary
ꜥb|Bowl
ꜥb|stone
ꜥb|Uncleanliness
ꜥbt|Weaver
ꜥbt|Playing with sticks
ꜥbt|jug
ꜥbt|Grains
ꜥbt|something used when opening the mouth
ꜥbt|Enjoy the meal
ꜥb-pr-wr|Priestly title
